Fiscal_Year_Released,Recidivism_Reporting_Year,Age_At_Release,Days_To_Return,Release_Type,Race_Ethnicity,Sex,Offense_Classification,Offense_Type,Offense_Subtype,Return_To_Prison,Recidivism_Type,New_Offense_Classification,New_Offense_Type,New_Offense_Subtype
2010,2013,2,433,4,7,2,5,5,18,2,1,5,1,25
2010,2013,2,453,2,10,2,6,3,23,2,3,0,0,0
2010,2013,3,832,4,10,2,4,1,25,2,3,0,0,0
2010,2013,2,0,4,10,2,4,2,12,1,2,0,0,0
2010,2013,3,116,2,7,2,6,5,1,2,3,0,0,0
2010,2013,2,0,4,10,2,5,1,25,1,2,0,0,0
2010,2013,2,0,4,10,2,5,1,25,1,2,0,0,0
2010,2013,3,84,4,7,2,6,4,16,2,3,0,0,0
2010,2013,2,0,4,10,2,7,3,9,1,2,0,0,0
2010,2013,2,274,4,7,2,5,5,15,2,3,0,0,0
2010,2013,2,165,4,10,2,5,1,25,2,1,6,1,13
2010,2013,2,249,4,10,2,5,1,25,2,3,0,0,0
2010,2013,3,1001,4,7,2,6,1,7,2,1,3,4,24
2010,2013,4,0,2,10,2,6,1,13,1,2,0,0,0
2010,2013,4,0,2,10,2,6,1,13,1,2,0,0,0
2010,2013,1,0,4,7,2,5,3,6,1,2,0,0,0
2010,2013,1,763,2,10,2,6,4,16,2,1,13,5,1
2010,2013,3,598,4,10,1,6,3,23,2,3,0,0,0
2010,2013,2,0,2,7,1,5,5,19,1,2,0,0,0
2010,2013,2,0,2,7,2,3,3,23,1,2,0,0,0
2010,2013,2,0,2,7,2,3,3,23,1,2,0,0,0
2010,2013,3,0,4,10,2,6,5,1,1,2,0,0,0
2010,2013,3,0,4,10,2,6,5,1,1,2,0,0,0
2010,2013,1,0,2,7,2,6,1,25,1,2,0,0,0
2010,2013,1,0,2,7,2,6,1,25,1,2,0,0,0
2010,2013,1,0,2,7,2,6,1,25,1,2,0,0,0
2010,2013,1,0,2,7,2,6,1,25,1,2,0,0,0
2010,2013,1,399,4,10,2,6,1,25,2,1,6,1,25
