Gender,Race,Age_at_Release,Supervision_Risk_Score_First,Education_Level,Dependents,Prison_Offense,Prior_Arrest_Episodes_Felony,Prior_Arrest_Episodes_Misd,Prior_Arrest_Episodes_Violent,Prior_Arrest_Episodes_Property,Prior_Arrest_Episodes_Drug,Prior_Arrest_Episodes_GunCharges,Prior_Conviction_Episodes_Felony,Prior_Conviction_Episodes_Misd,Prior_Conviction_Episodes_Viol,Prior_Conviction_Episodes_Prop,Prior_Conviction_Episodes_Drug,Prior_Conviction_Episodes_PPViolationCharges,Prior_Conviction_Episodes_DomesticViolenceCharges,Recidivism_Within_3years
M,BLACK,43-47,3,At least some college,3 or more,0,6,6 or more,1,3,3,FALSE,3 or more,3,FALSE,2,2 or more,FALSE,FALSE,FALSE
M,BLACK,33-37,6,Less than HS diploma,1,3,7,6 or more,3 or more,0,3,FALSE,3 or more,4 or more,TRUE,0,2 or more,TRUE,TRUE,TRUE
M,BLACK,48 or older,7,At least some college,3 or more,0,6,6 or more,3 or more,2,2,FALSE,3 or more,2,TRUE,1,2 or more,FALSE,TRUE,TRUE
M,WHITE,38-42,7,Less than HS diploma,1,2,8,6 or more,0,3,3,FALSE,3 or more,4 or more,FALSE,3 or more,2 or more,FALSE,FALSE,FALSE
M,WHITE,33-37,4,Less than HS diploma,3 or more,3,4,4,3 or more,2,1,FALSE,1,0,TRUE,0,1,FALSE,FALSE,TRUE
M,WHITE,38-42,5,High School Diploma,0,2,4,0,1,3,0,FALSE,1,0,FALSE,2,0,FALSE,FALSE,FALSE
M,BLACK,48 or older,2,Less than HS diploma,2,5,10 or more,6 or more,1,5 or more,1,TRUE,3 or more,1,FALSE,3 or more,0,TRUE,FALSE,TRUE
M,BLACK,38-42,5,High School Diploma,3 or more,0,6,6 or more,3 or more,1,2,FALSE,1,4 or more,TRUE,0,2 or more,TRUE,FALSE,FALSE
F,BLACK,43-47,7,High School Diploma,0,0,10 or more,4,2,5 or more,3,FALSE,2,4 or more,FALSE,3 or more,2 or more,TRUE,FALSE,TRUE
M,BLACK,43-47,5,High School Diploma,3 or more,2,10 or more,6 or more,3 or more,5 or more,2,TRUE,3 or more,4 or more,TRUE,3 or more,2 or more,TRUE,TRUE,TRUE
M,WHITE,43-47,3,Less than HS diploma,1,3,3,6 or more,2,1,1,FALSE,0,3,FALSE,0,0,TRUE,FALSE,TRUE
M,BLACK,33-37,5,High School Diploma,3 or more,1,10 or more,1,1,1,2,FALSE,3 or more,1,FALSE,0,2 or more,FALSE,FALSE,TRUE
M,WHITE,48 or older,3,Less than HS diploma,1,2,8,4,0,5 or more,2,FALSE,1,0,FALSE,2,1,FALSE,FALSE,FALSE
M,BLACK,33-37,7,High School Diploma,0,0,10 or more,3,1,1,5 or more,FALSE,0,1,TRUE,1,2 or more,FALSE,FALSE,TRUE
M,WHITE,33-37,7,Less than HS diploma,1,3,9,3,2,2,4,TRUE,3 or more,2,TRUE,1,1,TRUE,FALSE,FALSE
M,BLACK,33-37,4,Less than HS diploma,3 or more,5,4,6 or more,0,0,3,TRUE,2,4 or more,FALSE,0,2 or more,TRUE,FALSE,FALSE
M,BLACK,38-42,6,Less than HS diploma,3 or more,2,10 or more,5,2,3,3,FALSE,3 or more,4 or more,TRUE,1,2 or more,TRUE,FALSE,TRUE
M,WHITE,43-47,1,High School Diploma,3 or more,2,10 or more,6 or more,0,5 or more,0,TRUE,3 or more,2,FALSE,3 or more,0,TRUE,FALSE,TRUE
M,BLACK,48 or older,7,At least some college,3 or more,2,10 or more,4,0,5 or more,0,FALSE,3 or more,3,FALSE,2,0,TRUE,FALSE,FALSE
M,WHITE,48 or older,3,Less than HS diploma,0,2,10 or more,6 or more,0,5 or more,1,TRUE,2,4 or more,FALSE,3 or more,0,TRUE,FALSE,TRUE
M,BLACK,38-42,3,High School Diploma,3 or more,3,6,6 or more,3 or more,1,0,FALSE,3 or more,2,TRUE,0,0,TRUE,TRUE,FALSE
M,BLACK,33-37,5,Less than HS diploma,3 or more,0,10 or more,6 or more,0,1,5 or more,FALSE,2,4 or more,FALSE,0,2 or more,TRUE,FALSE,FALSE
F,WHITE,48 or older,4,High School Diploma,0,3,2,6 or more,3 or more,5 or more,0,FALSE,2,2,TRUE,1,0,FALSE,TRUE,FALSE
F,WHITE,43-47,5,Less than HS diploma,0,1,10 or more,6 or more,3 or more,5 or more,1,FALSE,3 or more,3,FALSE,2,1,TRUE,FALSE,FALSE
M,BLACK,38-42,5,Less than HS diploma,3 or more,0,10 or more,6 or more,3 or more,1,5 or more,FALSE,3 or more,4 or more,TRUE,1,2 or more,TRUE,FALSE,TRUE
M,WHITE,48 or older,2,Less than HS diploma,1,2,9,5,0,5 or more,0,FALSE,3 or more,4 or more,FALSE,3 or more,0,TRUE,FALSE,TRUE
M,WHITE,48 or older,2,Less than HS diploma,0,0,9,6 or more,0,0,2,FALSE,3 or more,4 or more,FALSE,0,2 or more,TRUE,FALSE,FALSE
M,WHITE,48 or older,3,Less than HS diploma,0,1,10 or more,6 or more,3 or more,5 or more,1,FALSE,3 or more,4 or more,TRUE,3 or more,1,TRUE,FALSE,TRUE
M,BLACK,43-47,6,High School Diploma,0,2,7,6 or more,0,5 or more,0,TRUE,2,3,FALSE,3 or more,0,TRUE,FALSE,FALSE
M,BLACK,18-22,10,Less than HS diploma,0,2,5,2,0,2,4,FALSE,0,0,FALSE,0,0,FALSE,FALSE,TRUE
M,WHITE,43-47,10,At least some college,0,2,10 or more,6 or more,3 or more,5 or more,0,TRUE,3 or more,4 or more,FALSE,3 or more,0,TRUE,FALSE,TRUE
F,WHITE,43-47,9,Less than HS diploma,0,2,10 or more,6 or more,2,5 or more,0,FALSE,3 or more,4 or more,TRUE,3 or more,0,TRUE,FALSE,FALSE
M,WHITE,43-47,8,High School Diploma,1,0,10 or more,2,3 or more,4,2,TRUE,3 or more,3,TRUE,1,2 or more,TRUE,FALSE,TRUE
F,WHITE,38-42,10,At least some college,3 or more,2,10 or more,6 or more,0,5 or more,5 or more,FALSE,1,4 or more,FALSE,3 or more,2 or more,TRUE,FALSE,TRUE
M,WHITE,33-37,4,Less than HS diploma,0,0,5,6 or more,1,0,4,TRUE,3 or more,4 or more,FALSE,0,2 or more,TRUE,FALSE,TRUE
M,BLACK,48 or older,2,Less than HS diploma,0,0,10 or more,6 or more,1,5 or more,4,FALSE,3 or more,4 or more,FALSE,3 or more,1,TRUE,FALSE,FALSE
