Fiscal _Year_Released,Recidivism_Reporting_Year,Age_At_Release,Days_To_Return,Release_Type,Race_Ethnicity,Sex,Offense_Classification,Offense_Type,Offense_Subtype,New_Offense_Classification,New_Offense_Type,New_Offense_Subtype,Return_To_Prison,Recidivism_Type
2010.0,2013.0,2.0,433.0,4.0,7.0,2.0,3.0,4.0,16.0,4.0,2.0,23.0,1.0,0.0
2010.0,2013.0,2.0,453.0,2.0,11.0,2.0,4.0,2.0,21.0,0.0,0.0,0.0,1.0,2.0
2010.0,2013.0,3.0,832.0,4.0,11.0,2.0,2.0,0.0,23.0,0.0,0.0,0.0,1.0,2.0
2010.0,2013.0,2.0,0.0,4.0,11.0,2.0,2.0,1.0,11.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,3.0,116.0,2.0,7.0,2.0,4.0,4.0,3.0,0.0,0.0,0.0,1.0,2.0
2010.0,2013.0,2.0,0.0,4.0,11.0,2.0,3.0,0.0,23.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,2.0,0.0,4.0,11.0,2.0,3.0,0.0,23.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,3.0,84.0,4.0,7.0,2.0,4.0,3.0,10.0,0.0,0.0,0.0,1.0,2.0
2010.0,2013.0,2.0,0.0,4.0,11.0,2.0,5.0,2.0,7.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,2.0,274.0,4.0,7.0,2.0,3.0,4.0,14.0,0.0,0.0,0.0,1.0,2.0
2010.0,2013.0,2.0,165.0,4.0,11.0,2.0,3.0,0.0,23.0,5.0,2.0,13.0,1.0,0.0
2010.0,2013.0,2.0,249.0,4.0,11.0,2.0,3.0,0.0,23.0,0.0,0.0,0.0,1.0,2.0
2010.0,2013.0,3.0,1001.0,4.0,7.0,2.0,4.0,0.0,5.0,2.0,7.0,22.0,1.0,0.0
2010.0,2013.0,4.0,0.0,2.0,11.0,2.0,4.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,4.0,0.0,2.0,11.0,2.0,4.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,1.0,0.0,4.0,7.0,2.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0
2010.0,2013.0,1.0,763.0,2.0,11.0,2.0,4.0,3.0,10.0,12.0,10.0,4.0,1.0,0.0
