Fiscal _Year_Released,Recidivism_Reporting_Year,Age_At_Release,Days_To_Return,Release_Type,Race_Ethnicity,Sex,Offense_Classification,Offense_Type,Offense_Subtype,Return_To_Prison,Recidivism_Type,New_Offense_Classification,New_Offense_Type,New_Offense_Subtype
2010,2013,25-34,433,Parole,Black - Non-Hispanic,Male,C Felony,Violent,Robbery,Yes,New,C Felony,Drug,Trafficking
2010,2013,25-34,453,Discharged or End of Sentence,White - Non-Hispanic,Male,D Felony,Property,Theft,Yes,Tech,0,0,0
2010,2013,35-44,832,Parole,White - Non-Hispanic,Male,B Felony,Drug,Trafficking,Yes,Tech,0,0,0
2010,2013,25-34,0,Parole,White - Non-Hispanic,Male,B Felony,Other,Other Criminal,No,No Recidivism,0,0,0
2010,2013,35-44,116,Discharged or End of Sentence,Black - Non-Hispanic,Male,D Felony,Violent,Assault,Yes,Tech,0,0,0
2010,2013,25-34,0,Parole,White - Non-Hispanic,Male,C Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,25-34,0,Parole,White - Non-Hispanic,Male,C Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,35-44,84,Parole,Black - Non-Hispanic,Male,D Felony,Public Order,OWI,Yes,Tech,0,0,0
2010,2013,25-34,0,Parole,White - Non-Hispanic,Male,Felony - Enhanced,Property,Forgery/Fraud,No,No Recidivism,0,0,0
2010,2013,25-34,274,Parole,Black - Non-Hispanic,Male,C Felony,Violent,Other Violent,Yes,Tech,0,0,0
2010,2013,25-34,165,Parole,White - Non-Hispanic,Male,C Felony,Drug,Trafficking,Yes,New,D Felony,Drug,Other Drug
2010,2013,25-34,249,Parole,White - Non-Hispanic,Male,C Felony,Drug,Trafficking,Yes,Tech,0,0,0
2010,2013,35-44,1001,Parole,Black - Non-Hispanic,Male,D Felony,Drug,Drug Possession,Yes,New,Aggravated Misdemeanor,Public Order,Traffic
2010,2013,45-54,0,Discharged or End of Sentence,White - Non-Hispanic,Male,D Felony,Drug,Other Drug,No,No Recidivism,0,0,0
2010,2013,45-54,0,Discharged or End of Sentence,White - Non-Hispanic,Male,D Felony,Drug,Other Drug,No,No Recidivism,0,0,0
2010,2013,Under 25,0,Parole,Black - Non-Hispanic,Male,C Felony,Property,Burglary,No,No Recidivism,0,0,0
